tag,pos_tag,prev_next,frequency
ADP,RPRT,next,1
ADP,V,next,11
ADV,DEMS,next,1
ADV,IND,next,1
ADV,PQ,next,2
ADV,PRON2,next,1
ADV,PUNCT,next,6
ADV,V,next,7
ADVA,PRON2,next,2
ADVA,PUNCT,next,5
ADVA,V,next,1
ADVDI,ADP,next,1
ADVDI,CARD,next,1
ADVDI,N,next,1
ADVDI,PUNCT,next,7
ADVDX,ADVT,next,1
ADVDX,PUNCT,next,13
ADVJ,PUNCT,next,1
ADVR,A,next,1
ADVR,PRON,next,1
ADVRU,ADVA,next,2
ADVS,PRON,next,2
ADVS,PROPN,next,1
ADVS,PUNCT,next,11
ADVS,V,next,3
ADVT,???,next,1
ADVT,ADP,next,1
ADVT,ADVDX,next,1
ADVT,CQ,next,1
ADVT,FOC,next,1
ADVT,FUT,next,5
ADVT,IND,next,1
ADVT,N,next,9
ADVT,PRON,next,5
ADVT,PRON2,next,1
ADVT,PROPN,next,1
ADVT,PUNCT,next,22
ADVT,V,next,9
AFF,PUNCT,next,3
ASSUM,None,next,2
CARD,N,next,4
CARD,PUNCT,next,1
CONS,PUNCT,next,4
CQ,???,next,1
CQ,DEMS,next,2
CQ,EXST,next,1
CQ,FUT,next,2
CQ,N,next,1
CQ,PRON,next,6
CQ,PRON2,next,1
CQ,PROPN,next,1
CQ,PUNCT,next,2
CQ,V,next,16
DEMS,ADP,next,4
DEMS,ADVDI,next,1
DEMS,N,next,19
DEMS,NEG,next,1
DEMS,PRON2,next,3
DEMS,PUNCT,next,4
DEMX,N,next,1
EXST,ADV,next,2
EXST,INDQ,next,3
EXST,N,next,3
EXST,PRON2,next,1
FOC,FUT,next,1
FOC,None,next,1
FUT,???,next,1
FUT,A,next,1
FUT,ADVDI,next,1
FUT,ADVDX,next,1
FUT,ADVT,next,1
FUT,FOC,next,1
FUT,IND,next,1
FUT,N,next,8
FUT,PRON,next,2
FUT,PROPN,next,3
FUT,PUNCT,next,4
FUT,V,next,12
IND,ADP,next,2
IND,ADVT,next,1
IND,N,next,13
IND,PQ,next,1
IND,PRON,next,1
IND,PRON2,next,1
IND,PUNCT,next,6
IND,V,next,8
INDQ,N,next,17
INTJ,???,next,1
INTJ,PUNCT,next,4
N,???,next,10
N,A,next,13
N,A2,next,5
N,ADP,next,111
N,ADV,next,4
N,ADVA,next,1
N,ADVT,next,4
N,CQ,next,5
N,N,next,79
N,NEG,next,10
N,None,next,32
N,PFV,next,1
N,PQ,next,1
N,PRON,next,9
N,PRON2,next,28
N,PROPN,next,10
N,PUNCT,next,199
N,REL,next,7
N,V,next,93
NEG,???,next,5
NEG,ADV,next,2
NEG,ADVT,next,6
NEG,FUT,next,4
NEG,PFV,next,3
NEG,PQ,next,3
NEG,PRON2,next,1
NEG,PUNCT,next,5
NEG,V,next,33
ORD,N,next,1
PFV,A,next,1
PFV,ADVDX,next,1
PFV,ADVS,next,2
PFV,ADVT,next,2
PFV,IND,next,3
PFV,INDQ,next,1
PFV,N,next,14
PFV,PRON2,next,4
PFV,PROPN,next,2
PFV,PUNCT,next,19
PFV,REL,next,1
PFV,V,next,8
PQ,N,next,5
PQ,PRON,next,3
PQ,PRON2,next,1
PQ,SCONJR,next,1
PQ,V,next,2
PRON,???,next,2
PRON,A,next,1
PRON,N,next,6
PRON,NEG,next,16
PRON,PRON2,next,14
PRON,PROPN,next,2
PRON,PUNCT,next,14
PRON,V,next,79
PRON2,???,next,4
PRON2,A2,next,9
PRON2,ADP,next,25
PRON2,ASSUM,next,5
PRON2,N,next,165
PRON2,V2,next,7
PROPN,???,next,5
PROPN,A,next,2
PROPN,A2,next,1
PROPN,ADP,next,18
PROPN,N,next,29
PROPN,NEG,next,1
PROPN,PROPN,next,17
PROPN,PUNCT,next,41
PROPN,V,next,80
PRSV,N,next,6
PRSV,PRON2,next,1
PUNCT,???,next,14
PUNCT,ADVR,next,1
PUNCT,ADVRU,next,2
PUNCT,ADVT,next,7
PUNCT,AFF,next,3
PUNCT,CONS,next,4
PUNCT,DEMS,next,7
PUNCT,EXST,next,1
PUNCT,FUT,next,1
PUNCT,IND,next,5
PUNCT,INDQ,next,2
PUNCT,INTJ,next,5
PUNCT,N,next,32
PUNCT,NEG,next,11
PUNCT,None,next,807
PUNCT,PRON,next,29
PUNCT,PRON2,next,15
PUNCT,PROPN,next,36
PUNCT,PRSV,next,2
PUNCT,PUNCT,next,39
PUNCT,RPRT,next,38
PUNCT,SCONJR,next,4
PUNCT,V,next,78
REL,???,next,1
REL,ADP,next,1
REL,IND,next,3
REL,N,next,13
REL,PRON,next,4
REL,PRON2,next,5
REL,PROPN,next,3
REL,PUNCT,next,5
REL,V,next,3
RPRT,EXST,next,1
RPRT,PUNCT,next,38
SCONJR,ADVT,next,1
SCONJR,IND,next,2
SCONJR,PRON,next,1
SCONJR,V,next,4
TOT,CARD,next,1
TOT,N,next,2
TOT,PUNCT,next,2
TOT,V,next,1
V,???,next,7
V,A,next,7
V,A2,next,3
V,ADP,next,10
V,ADV,next,4
V,ADVA,next,6
V,ADVDI,next,8
V,ADVDX,next,12
V,ADVS,next,6
V,ADVT,next,7
V,CARD,next,2
V,DEMS,next,6
V,FUT,next,24
V,IND,next,15
V,INDQ,next,9
V,N,next,142
V,None,next,3
V,PFV,next,61
V,PQ,next,6
V,PRON,next,23
V,PRON2,next,84
V,PROPN,next,18
V,PUNCT,next,123
V,REL,next,24
V,RPRT,next,1
V,TOT,next,3
V,V,next,83
V2,PRON2,next,1
V2,PUNCT,next,12
