tag,pos_tag,prev_next,frequency
ADVLC,PFV,prev,1
ADVLC,PUNCT,prev,5
ADVLC,V,prev,1
ADVLT,PREP,prev,1
ADVM,ADVRU,prev,1
ADVM,CQ,prev,2
ADVM,IND,prev,1
ADVM,PQ,prev,1
ADVM,PRON,prev,1
ADVNC,NEG,prev,4
ADVNC,PFV,prev,1
ADVNT,NEG,prev,2
ADVO,ADV,prev,1
ADVO,V,prev,3
ADVRA,A,prev,1
ADVRA,ADP,prev,1
ADVRA,ADV,prev,1
ADVRA,ADVA,prev,1
ADVRA,CCONJ,prev,2
ADVRA,COND,prev,1
ADVRA,N,prev,1
ADVRA,NEG,prev,3
ADVRA,None,prev,23
ADVRA,PFV,prev,2
ADVRA,PRON,prev,2
ADVRA,PUNCT,prev,8
ADVRA,SCONJ,prev,2
ADVRA,TOT,prev,1
ADVRA,V,prev,4
ADVRC,ADP,prev,2
ADVRC,ADVA,prev,1
ADVRC,AUXN,prev,1
ADVRC,N,prev,3
ADVRC,None,prev,12
ADVRC,PFV,prev,1
ADVRC,PUNCT,prev,11
ADVRC,SCONJR,prev,1
ADVRC,V,prev,5
ADVRT,FUT,prev,1
ADVRT,None,prev,1
ADVRT,PUNCT,prev,1
ADVRU,CCONJ,prev,1
ADVRU,None,prev,4
ADVRU,PUNCT,prev,2
ADVS,A,prev,17
ADVS,A2,prev,7
ADVS,ADVA,prev,1
ADVS,ADVC,prev,2
ADVS,ADVDI,prev,1
ADVS,CERT,prev,1
ADVS,DEMS,prev,1
ADVS,INDQ,prev,1
ADVS,N,prev,2
ADVS,NEG,prev,1
ADVS,None,prev,2
ADVS,PFV,prev,2
ADVS,PQ,prev,1
ADVS,PRON,prev,2
ADVS,PUNCT,prev,1
ADVS,V,prev,18
ADVS,V2,prev,6
ADVS,V3,prev,2
ADVT,ADP,prev,3
ADVT,ADVC,prev,1
ADVT,ADVDX,prev,2
ADVT,ADVJ,prev,1
ADVT,ADVP,prev,1
ADVT,ADVS,prev,1
ADVT,ADVT,prev,1
ADVT,ART,prev,1
ADVT,AUXFR,prev,5
ADVT,AUXN,prev,2
ADVT,CCONJ,prev,1
ADVT,COND,prev,2
ADVT,CQ,prev,2
ADVT,ELIP,prev,1
ADVT,EXST,prev,1
ADVT,FUT,prev,3
ADVT,N,prev,8
ADVT,NEG,prev,3
ADVT,None,prev,106
ADVT,PFV,prev,1
ADVT,PREP,prev,2
ADVT,PRON,prev,1
ADVT,PROPN,prev,1
ADVT,PUNCT,prev,37
ADVT,REL,prev,2
ADVT,RPRT,prev,1
ADVT,SCONJ,prev,4
ADVT,V,prev,22
AFF,None,prev,1
ART,ADP,prev,4
ART,CCONJ,prev,1
ART,EXST,prev,6
ART,N,prev,1
ART,NEG,prev,1
ART,None,prev,7
ART,PFV,prev,1
ART,PRON,prev,3
ART,PUNCT,prev,6
ART,RPRT,prev,4
ART,SCONJ,prev,3
ART,V,prev,32
ASSUM,A2,prev,1
ASSUM,ADVP,prev,1
ASSUM,CQ,prev,2
ASSUM,FOC,prev,1
ASSUM,FUT,prev,2
ASSUM,IND,prev,1
ASSUM,INT,prev,2
ASSUM,N,prev,2
ASSUM,PFV,prev,1
ASSUM,PRON,prev,3
AUXFR,A,prev,1
AUXFR,ADP,prev,2
AUXFR,ADVRC,prev,1
AUXFR,ADVS,prev,1
AUXFR,ADVT,prev,8
AUXFR,ASSUM,prev,1
AUXFR,CCONJ,prev,1
AUXFR,CERT,prev,1
AUXFR,COND,prev,1
AUXFR,CQ,prev,1
AUXFR,DEMS,prev,1
AUXFR,IND,prev,3
AUXFR,N,prev,6
AUXFR,NEC,prev,1
AUXFR,NEG,prev,3
AUXFR,None,prev,10
AUXFR,PFV,prev,1
AUXFR,PRON,prev,10
AUXFR,PROPN,prev,1
AUXFR,PUNCT,prev,14
AUXFR,RPRT,prev,2
AUXFR,SCONJR,prev,1
AUXFR,V,prev,2
AUXFS,A2,prev,12
AUXFS,ADVS,prev,1
AUXFS,AUXFR,prev,3
AUXFS,PFV,prev,3
AUXFS,PRON,prev,1
AUXFS,REL,prev,3
AUXFS,SCONJ,prev,1
AUXFS,V,prev,23
AUXFS,V2,prev,1
AUXFS,V3,prev,1
AUXN,ART,prev,1
AUXN,DEMX,prev,1
AUXN,PRON,prev,2
AUXN,PUNCT,prev,1
AUXN,RELF,prev,1
AUXN,SCONJR,prev,1
AUXN,V,prev,58
CARD,ADP,prev,1
CARD,ADVC,prev,1
CARD,ADVT,prev,1
CARD,DEMX,prev,3
CARD,EXST,prev,1
CARD,N,prev,2
CARD,None,prev,9
CARD,PRON,prev,2
CARD,PUNCT,prev,1
CARD,REL,prev,1
CARD,RPRT,prev,2
CARD,SCONJ,prev,1
CARD,TOT,prev,1
CARD,V,prev,5
CCONJ,ADP,prev,7
CCONJ,ADVDX,prev,1
CCONJ,AUXFS,prev,1
CCONJ,CCONJ,prev,1
CCONJ,ELIP,prev,1
CCONJ,N,prev,9
CCONJ,None,prev,6
CCONJ,PQ,prev,1
CCONJ,PRON,prev,1
CCONJ,PROPN,prev,1
CCONJ,PUNCT,prev,47
CCONJ,REL,prev,4
CCONJ,RPRT,prev,1
CCONJ,SCONJ,prev,1
CCONJ,V,prev,1
CERT,ADVT,prev,3
CERT,CCONJ,prev,1
CERT,FOC,prev,1
CERT,None,prev,1
CERT,PFV,prev,1
COND,ADVRA,prev,1
COND,ASSUM,prev,1
COND,AUXN,prev,1
COND,CQ,prev,1
COND,NEG,prev,1
COND,SCONJ,prev,5
COND,V,prev,3
CONS,None,prev,6
CONS,PUNCT,prev,4
COP,A,prev,7
COP,ADP,prev,4
COP,ADVC,prev,1
COP,ADVDI,prev,2
COP,ADVDX,prev,1
COP,ADVRC,prev,1
COP,ADVT,prev,2
COP,CQ,prev,2
COP,DEMX,prev,1
COP,ELIP,prev,1
COP,FOC,prev,2
COP,FUT,prev,1
COP,N,prev,15
COP,NEG,prev,3
COP,None,prev,7
COP,PFV,prev,1
COP,PRON,prev,12
COP,PROPN,prev,3
COP,PUNCT,prev,3
COP,SCONJR,prev,2
CQ,ADP,prev,6
CQ,ADVJ,prev,2
CQ,ADVRA,prev,25
CQ,ADVRC,prev,15
CQ,ADVRT,prev,2
CQ,ADVRU,prev,3
CQ,ADVT,prev,2
CQ,IND,prev,1
CQ,INT,prev,19
CQ,N,prev,6
CQ,REL,prev,1
CQ,SCONJR,prev,2
DEMS,A,prev,2
DEMS,ADP,prev,5
DEMS,ADV,prev,1
DEMS,ADVJ,prev,1
DEMS,ADVT,prev,3
DEMS,ASSUM,prev,2
DEMS,AUXFS,prev,1
DEMS,COP,prev,3
DEMS,EMP,prev,5
DEMS,FRUST,prev,1
DEMS,IND,prev,1
DEMS,None,prev,14
DEMS,PRON,prev,1
DEMS,PUNCT,prev,10
DEMS,REL,prev,3
DEMS,RPRT,prev,5
DEMS,SCONJ,prev,7
DEMS,SCONJR,prev,2
DEMS,TOT,prev,1
DEMS,V,prev,19
DEMS,V2,prev,1
DEMSN,CQ,prev,1
DEMSN,None,prev,1
DEMSN,PUNCT,prev,1
DEMSN,V,prev,1
DEMX,ADP,prev,17
DEMX,ADV,prev,1
DEMX,ADVA,prev,1
DEMX,ADVDX,prev,1
DEMX,ADVJ,prev,2
DEMX,ADVP,prev,1
DEMX,ADVS,prev,2
DEMX,ADVT,prev,8
DEMX,AUXFS,prev,1
DEMX,AUXN,prev,1
DEMX,CCONJ,prev,1
DEMX,COP,prev,1
DEMX,CQ,prev,7
DEMX,EMP,prev,9
DEMX,FOC,prev,1
DEMX,FUT,prev,3
DEMX,INDQ,prev,1
DEMX,N,prev,8
DEMX,None,prev,40
DEMX,ORD,prev,1
DEMX,PFV,prev,1
DEMX,PQ,prev,1
DEMX,PRON,prev,2
DEMX,PUNCT,prev,7
DEMX,REL,prev,4
DEMX,RPRT,prev,5
DEMX,SCONJ,prev,4
DEMX,TOT,prev,4
DEMX,TOTAL,prev,1
DEMX,V,prev,21
EMP,None,prev,9
EMP,PUNCT,prev,8
EMP,REL,prev,1
EMP,RPRT,prev,1
EMP,V,prev,3
EXST,ADP,prev,3
EXST,ADVDI,prev,1
EXST,ADVT,prev,1
EXST,AUXFR,prev,1
EXST,CCONJ,prev,2
EXST,CQ,prev,1
EXST,N,prev,1
EXST,None,prev,19
EXST,PUNCT,prev,2
EXST,REL,prev,1
EXST,RPRT,prev,2
EXST,SCONJR,prev,1
FOC,ADP,prev,4
FOC,ADVA,prev,7
FOC,ADVDI,prev,2
FOC,ADVLC,prev,1
FOC,ADVRA,prev,1
FOC,ADVT,prev,2
FOC,AUXN,prev,2
FOC,CQ,prev,2
FOC,IND,prev,2
FOC,N,prev,2
FOC,NEG,prev,1
FOC,PFV,prev,3
FOC,PRON,prev,2
FOC,PRSV,prev,1
FOC,REL,prev,1
FOC,V,prev,6
FRUST,AUXN,prev,2
FRUST,NEG,prev,1
FRUST,REL,prev,1
FRUST,RPRT,prev,1
FRUST,V,prev,2
FUT,A,prev,2
FUT,A2,prev,1
FUT,ADP,prev,4
FUT,ADVA,prev,1
FUT,ADVDI,prev,1
FUT,ADVNT,prev,1
FUT,ADVRA,prev,1
FUT,ADVT,prev,8
FUT,AUXFR,prev,2
FUT,CQ,prev,7
FUT,DEMX,prev,1
FUT,EMP,prev,1
FUT,FOC,prev,3
FUT,IND,prev,2
FUT,N,prev,15
FUT,NEGI,prev,2
FUT,PFV,prev,3
FUT,PREP,prev,2
FUT,PRON,prev,2
FUT,RELF,prev,1
FUT,SCONJ,prev,5
FUT,SCONJR,prev,2
FUT,TOT,prev,1
FUT,TOTAL,prev,1
FUT,V,prev,44
IND,ADP,prev,1
IND,ADVA,prev,2
IND,ADVG,prev,1
IND,ADVT,prev,2
IND,AUXFS,prev,1
IND,AUXN,prev,4
IND,CCONJ,prev,2
IND,COP,prev,1
IND,DEMS,prev,1
IND,EXST,prev,1
IND,FUT,prev,3
IND,IND,prev,2
IND,N,prev,2
IND,NEG,prev,13
IND,None,prev,13
IND,PFV,prev,3
IND,PRON,prev,1
IND,PUNCT,prev,9
IND,REL,prev,2
IND,RPRT,prev,1
IND,SCONJ,prev,3
IND,SCONJR,prev,1
IND,TOT,prev,3
IND,V,prev,19
INDQ,ADP,prev,2
INDQ,ADV,prev,1
INDQ,ADVT,prev,2
INDQ,CCONJ,prev,2
INDQ,EXST,prev,3
INDQ,N,prev,3
INDQ,None,prev,3
INDQ,SCONJ,prev,1
INDQ,TOTAL,prev,1
INDQ,V,prev,6
INT,ADP,prev,1
INT,ADVS,prev,1
INT,ADVT,prev,1
INT,AUXFS,prev,1
INT,AUXN,prev,1
INT,EXST,prev,1
INT,None,prev,27
INT,PFV,prev,1
INT,PRON,prev,1
INT,PUNCT,prev,7
INT,SCONJ,prev,1
INT,TOT,prev,1
INT,V,prev,8
INTJ,None,prev,6
INTJ,PUNCT,prev,24
N,A,prev,12
N,ADP,prev,30
N,ADV,prev,5
N,ADVA,prev,12
N,ADVC,prev,1
N,ADVDX,prev,1
N,ADVG,prev,1
N,ADVJ,prev,4
N,ADVLA,prev,2
N,ADVLC,prev,3
N,ADVM,prev,1
N,ADVNC,prev,2
N,ADVRA,prev,5
N,ADVRC,prev,6
N,ADVRT,prev,1
N,ADVS,prev,9
N,ADVT,prev,23
N,ART,prev,57
N,AUXFS,prev,11
N,AUXN,prev,4
N,CARD,prev,27
N,CCONJ,prev,8
N,COP,prev,10
N,CQ,prev,3
N,DEMS,prev,62
N,DEMSN,prev,3
N,DEMX,prev,104
N,ELIP,prev,1
N,EXST,prev,9
N,FOC,prev,4
N,FRUST,prev,1
N,FUT,prev,11
N,IND,prev,25
N,INDQ,prev,15
N,INT,prev,8
N,INTJ,prev,1
N,N,prev,210
N,NEG,prev,1
N,None,prev,182
N,PFV,prev,24
N,PQ,prev,8
N,PREP,prev,5
N,PRET,prev,1
N,PRON,prev,27
N,PRON2,prev,367
N,PROPN,prev,40
N,PRSV,prev,4
N,PUNCT,prev,99
N,REL,prev,39
N,RELF,prev,1
N,RPRT,prev,22
N,SCONJ,prev,32
N,SCONJR,prev,11
N,TOT,prev,20
N,TOTAL,prev,3
N,V,prev,261
N,V2,prev,3
NEC,ADVT,prev,1
NEC,N,prev,1
NEC,NEG,prev,1
NEC,None,prev,3
NEG,A,prev,3
NEG,ADP,prev,6
NEG,ADV,prev,1
NEG,ADVA,prev,1
NEG,ADVJ,prev,3
NEG,ADVP,prev,1
NEG,ADVRU,prev,1
NEG,ADVS,prev,2
NEG,ADVT,prev,1
NEG,ASSUM,prev,1
NEG,CCONJ,prev,2
NEG,CERT,prev,1
NEG,DEMS,prev,2
NEG,DEMX,prev,1
NEG,ELIP,prev,1
NEG,FUT,prev,1
NEG,IND,prev,2
NEG,N,prev,19
NEG,None,prev,28
NEG,PQ,prev,1
NEG,PRON,prev,26
NEG,PROPN,prev,1
NEG,PUNCT,prev,55
NEG,REL,prev,1
NEG,RELF,prev,2
NEG,SCONJR,prev,3
NEG,V,prev,3
NEGI,None,prev,8
NEGI,PUNCT,prev,7
ORD,V,prev,1
PFV,A,prev,4
PFV,A2,prev,4
PFV,ADP,prev,4
PFV,ADV,prev,1
PFV,ADVA,prev,3
PFV,ADVC,prev,2
PFV,ADVDI,prev,1
PFV,ADVJ,prev,1
PFV,ADVT,prev,5
PFV,AUXFR,prev,4
PFV,AUXN,prev,2
PFV,COP,prev,2
PFV,EXST,prev,1
PFV,FOC,prev,1
PFV,N,prev,2
PFV,NEG,prev,17
PFV,PRSV,prev,2
PFV,SCONJ,prev,3
PFV,TOTAL,prev,4
PFV,V,prev,65
PFV,V2,prev,1
PFV,V3,prev,3
PQ,A,prev,1
PQ,A2,prev,1
PQ,ADV,prev,1
PQ,ADVC,prev,1
PQ,ADVS,prev,1
PQ,ADVT,prev,2
PQ,AUXN,prev,2
PQ,COP,prev,1
PQ,EXST,prev,1
PQ,N,prev,1
PQ,NEG,prev,2
PQ,PFV,prev,1
PQ,PRON,prev,1
PQ,V,prev,9
PQ,V2,prev,2
PREP,ADP,prev,2
PREP,CERT,prev,1
PREP,None,prev,1
PREP,PUNCT,prev,5
PREP,V,prev,1
PRET,ADVT,prev,1
PRET,INT,prev,1
PRET,N,prev,1
PRET,REL,prev,5
PRET,V,prev,1
PRON,A,prev,4
PRON,A2,prev,1
PRON,ADP,prev,6
PRON,ADV,prev,4
PRON,ADVA,prev,7
PRON,ADVC,prev,1
PRON,ADVDI,prev,3
PRON,ADVJ,prev,4
PRON,ADVLA,prev,1
PRON,ADVLC,prev,3
PRON,ADVM,prev,1
PRON,ADVP,prev,1
PRON,ADVRA,prev,1
PRON,ADVS,prev,6
PRON,ADVT,prev,17
PRON,ASSUM,prev,1
PRON,AUXFR,prev,3
PRON,AUXFS,prev,1
PRON,AUXN,prev,7
PRON,CCONJ,prev,11
PRON,COND,prev,3
PRON,COP,prev,2
PRON,CQ,prev,11
PRON,DEMX,prev,1
PRON,ELIP,prev,2
PRON,FOC,prev,4
PRON,FRUST,prev,1
PRON,FUT,prev,20
PRON,IND,prev,6
PRON,INDQ,prev,1
PRON,INT,prev,1
PRON,N,prev,23
PRON,NEC,prev,1
PRON,NEG,prev,3
PRON,None,prev,149
PRON,PFV,prev,7
PRON,PQ,prev,3
PRON,PRET,prev,1
PRON,PRON,prev,1
PRON,PRSV,prev,1
PRON,PUNCT,prev,59
PRON,REL,prev,12
PRON,RPRT,prev,15
PRON,SCONJ,prev,17
PRON,SCONJR,prev,10
PRON,TOT,prev,3
PRON,TOTAL,prev,2
PRON,V,prev,131
PRON,V3,prev,1
PRON2,A,prev,5
PRON2,A2,prev,1
PRON2,ADP,prev,14
PRON2,ADV,prev,4
PRON2,ADVA,prev,5
PRON2,ADVC,prev,1
PRON2,ADVG,prev,2
PRON2,ADVJ,prev,1
PRON2,ADVLC,prev,1
PRON2,ADVO,prev,1
PRON2,ADVRA,prev,1
PRON2,ADVRC,prev,4
PRON2,ADVS,prev,3
PRON2,ADVT,prev,7
PRON2,ART,prev,1
PRON2,AUXFS,prev,3
PRON2,AUXN,prev,9
PRON2,CARD,prev,1
PRON2,CCONJ,prev,3
PRON2,COP,prev,9
PRON2,CQ,prev,7
PRON2,DEMS,prev,3
PRON2,DEMX,prev,10
PRON2,ELIP,prev,2
PRON2,EMP,prev,2
PRON2,EXST,prev,1
PRON2,FOC,prev,2
PRON2,FUT,prev,12
PRON2,IND,prev,3
PRON2,INDQ,prev,2
PRON2,INT,prev,3
PRON2,N,prev,57
PRON2,NEG,prev,5
PRON2,NEGI,prev,1
PRON2,None,prev,62
PRON2,PFV,prev,10
PRON2,PQ,prev,3
PRON2,PRET,prev,1
PRON2,PRON,prev,26
PRON2,PROPN,prev,1
PRON2,PRSV,prev,1
PRON2,PUNCT,prev,50
PRON2,REL,prev,13
PRON2,RPRT,prev,13
PRON2,SCONJ,prev,32
PRON2,SCONJR,prev,3
PRON2,TOT,prev,2
PRON2,TOTAL,prev,2
PRON2,V,prev,184
PRON2,V2,prev,2
PRON2,V3,prev,1
PROPN,A,prev,2
PROPN,ADP,prev,4
PROPN,ADVC,prev,1
PROPN,ADVJ,prev,1
PROPN,ADVLC,prev,1
PROPN,ADVRA,prev,1
PROPN,ADVRC,prev,2
PROPN,ADVT,prev,8
PROPN,ART,prev,1
PROPN,CCONJ,prev,3
PROPN,COND,prev,1
PROPN,COP,prev,1
PROPN,CQ,prev,1
PROPN,DEMX,prev,7
PROPN,FOC,prev,1
PROPN,FUT,prev,1
PROPN,INT,prev,2
PROPN,N,prev,11
PROPN,None,prev,53
PROPN,PFV,prev,3
PROPN,PRON,prev,5
PROPN,PROPN,prev,10
PROPN,PUNCT,prev,24
PROPN,REL,prev,5
PROPN,RPRT,prev,4
PROPN,SCONJ,prev,4
PROPN,SCONJR,prev,1
PROPN,V,prev,23
PROTST,N,prev,1
PRSV,None,prev,8
PRSV,PUNCT,prev,4
PUNCT,A,prev,84
PUNCT,A2,prev,23
PUNCT,ADP,prev,516
PUNCT,ADV,prev,13
PUNCT,ADVA,prev,22
PUNCT,ADVC,prev,8
PUNCT,ADVDI,prev,13
PUNCT,ADVDX,prev,19
PUNCT,ADVG,prev,4
PUNCT,ADVM,prev,1
PUNCT,ADVNC,prev,1
PUNCT,ADVO,prev,2
PUNCT,ADVS,prev,22
PUNCT,ADVT,prev,26
PUNCT,AFF,prev,1
PUNCT,ART,prev,5
PUNCT,ASSUM,prev,1
PUNCT,AUXFS,prev,25
PUNCT,AUXN,prev,14
PUNCT,CARD,prev,1
PUNCT,CCONJ,prev,6
PUNCT,CERT,prev,2
PUNCT,CONS,prev,10
PUNCT,COP,prev,19
PUNCT,CQ,prev,3
PUNCT,DEMS,prev,5
PUNCT,DEMX,prev,2
PUNCT,ELIP,prev,24
PUNCT,EXST,prev,1
PUNCT,FOC,prev,4
PUNCT,FRUST,prev,2
PUNCT,FUT,prev,19
PUNCT,IND,prev,8
PUNCT,INDQ,prev,1
PUNCT,INT,prev,2
PUNCT,INTJ,prev,29
PUNCT,N,prev,456
PUNCT,NEG,prev,6
PUNCT,None,prev,32
PUNCT,PFV,prev,22
PUNCT,PQ,prev,3
PUNCT,PRET,prev,5
PUNCT,PRON,prev,119
PUNCT,PROPN,prev,46
PUNCT,PROTST,prev,1
PUNCT,PRSV,prev,3
PUNCT,PUNCT,prev,81
PUNCT,REL,prev,76
PUNCT,RPRT,prev,11
PUNCT,SCONJ,prev,58
PUNCT,TOT,prev,1
PUNCT,TOTAL,prev,7
PUNCT,V,prev,217
PUNCT,V2,prev,4
PUNCT,V3,prev,3
REL,A,prev,38
REL,A2,prev,5
REL,ADP,prev,2
REL,ADVA,prev,7
REL,ADVG,prev,5
REL,ADVRA,prev,7
REL,ADVS,prev,3
REL,ADVT,prev,1
REL,AUXFR,prev,1
REL,AUXFS,prev,1
REL,AUXN,prev,1
REL,COP,prev,6
REL,FOC,prev,1
REL,FUT,prev,3
REL,INDQ,prev,1
REL,N,prev,15
REL,NEG,prev,5
REL,PFV,prev,5
REL,PQ,prev,1
REL,SCONJ,prev,1
REL,V,prev,106
REL,V2,prev,2
REL,V3,prev,3
RELF,ADP,prev,3
RELF,AUXN,prev,1
RELF,None,prev,3
RELF,PUNCT,prev,1
RELF,RPRT,prev,1
RELF,V,prev,1
RPRT,A,prev,2
RPRT,ADP,prev,8
RPRT,ADV,prev,2
RPRT,ADVA,prev,5
RPRT,ADVDI,prev,4
RPRT,ADVJ,prev,12
RPRT,ADVP,prev,2
RPRT,ADVS,prev,3
RPRT,ADVT,prev,19
RPRT,ART,prev,1
RPRT,ASSUM,prev,2
RPRT,AUXFR,prev,1
RPRT,AUXN,prev,1
RPRT,CARD,prev,1
RPRT,CCONJ,prev,1
RPRT,DEMS,prev,1
RPRT,DEMSN,prev,1
RPRT,DEMX,prev,1
RPRT,EMP,prev,4
RPRT,EXST,prev,3
RPRT,FOC,prev,5
RPRT,IND,prev,1
RPRT,INT,prev,1
RPRT,N,prev,6
RPRT,NEG,prev,2
RPRT,PFV,prev,7
RPRT,PRON,prev,3
RPRT,PROPN,prev,1
RPRT,PUNCT,prev,3
RPRT,REL,prev,1
RPRT,SCONJ,prev,2
RPRT,SCONJR,prev,4
RPRT,TOT,prev,3
RPRT,V,prev,14
SCONJ,A,prev,3
SCONJ,A2,prev,3
SCONJ,ADP,prev,1
SCONJ,ADVA,prev,2
SCONJ,ADVRA,prev,1
SCONJ,ADVS,prev,3
SCONJ,AUXFR,prev,2
SCONJ,AUXN,prev,1
SCONJ,N,prev,6
SCONJ,NEG,prev,22
SCONJ,REL,prev,1
SCONJ,TOTAL,prev,2
SCONJ,V,prev,170
SCONJ,V2,prev,2
SCONJR,ADP,prev,4
SCONJR,ADVDX,prev,1
SCONJR,ADVT,prev,1
SCONJR,CCONJ,prev,1
SCONJR,ELIP,prev,2
SCONJR,EXST,prev,1
SCONJR,N,prev,3
SCONJR,None,prev,24
SCONJR,PRON,prev,2
SCONJR,PUNCT,prev,20
SCONJR,SCONJ,prev,1
SCONJR,V,prev,6
TOT,ADP,prev,5
TOT,ADVG,prev,1
TOT,ADVJ,prev,1
TOT,ADVS,prev,1
TOT,AUXN,prev,1
TOT,N,prev,2
TOT,None,prev,5
TOT,PRON,prev,3
TOT,PUNCT,prev,8
TOT,REL,prev,3
TOT,SCONJ,prev,2
TOT,V,prev,12
TOTAL,A,prev,2
TOTAL,N,prev,3
TOTAL,PRON,prev,1
TOTAL,V,prev,18
TOTAL,V2,prev,1
V,A,prev,19
V,A2,prev,6
V,ADP,prev,47
V,ADV,prev,15
V,ADVA,prev,18
V,ADVC,prev,1
V,ADVDI,prev,2
V,ADVG,prev,3
V,ADVJ,prev,12
V,ADVLC,prev,6
V,ADVLT,prev,1
V,ADVM,prev,3
V,ADVNC,prev,1
V,ADVNT,prev,1
V,ADVP,prev,1
V,ADVRA,prev,8
V,ADVRC,prev,6
V,ADVRU,prev,2
V,ADVS,prev,7
V,ADVT,prev,46
V,ASSUM,prev,6
V,AUXFR,prev,50
V,AUXFS,prev,1
V,AUXN,prev,6
V,CARD,prev,1
V,CCONJ,prev,28
V,COND,prev,4
V,CQ,prev,26
V,DEMS,prev,5
V,DEMX,prev,21
V,ELIP,prev,4
V,EMP,prev,1
V,EXST,prev,3
V,FOC,prev,6
V,FUT,prev,25
V,IND,prev,22
V,INDQ,prev,1
V,INT,prev,4
V,N,prev,307
V,NEC,prev,4
V,NEG,prev,47
V,NEGI,prev,12
V,None,prev,210
V,PFV,prev,23
V,PQ,prev,1
V,PRET,prev,1
